team,num,name,pos,hgt,weight,dob,exp,college
CON,3,Diana Taurasi,G,Jun-00,163,11-Jun-82,14,CONNECTICUT/USA
CON,21,Brianna Turner,F,3-Jun,170,5-Jul-96,R,NOTRE DAME
CON,6,Yvonne Turner,G,10-May,131,13-Oct-87,2,NEBRASKA/USA
SEA,10,Sue Bird,G,9-May,150,16-Oct-80,16,CONNECTICUT/USA
SEA,21,Jordin Canada,G,6-May,,11-Aug-95,1,UCLA
SEA,32,Alysha Clark,F,11-May,167,7-Jul-87,7,MIDDLE TENNESSEE STATE/USA
SEA,12,Blake Dietrick,G,10-May,157,19-Jul-93,2,PRINCETON
SEA,6,Natasha Howard,F,2-Jun,165,2-Sep-91,5,FLORIDA STATE
SEA,1,Crystal Langhorne,F-C,2-Jun,185,27-Oct-86,11,MARYLAND/USA
SEA,24,Jewell Loyd,G,10-May,148,5-Oct-93,4,NOTRE DAME
SEA,23,Kaleena Mosqueda-Lewis,F,11-May,180,3-Nov-93,4,CONNECTICUT
SEA,3,Courtney Paris,C,4-Jun,250,21-Sep-87,9,OKLAHOMA/USA
SEA,2,Mercedes Russell,C,6-Jun,,27-Jul-95,1,TENNESSEE
SEA,30,Breanna Stewart,F,4-Jun,170,27-Aug-94,3,CONNECTICUT
SEA,33,Sami Whitcomb,G-F,10-May,145,20-Jul-88,2,WASHINGTON
SEA,11,Shavonte Zellous,G,10-May,188,28-Aug-86,10,PITTSBURGH/USA
PHO,24,DeWanna Bonner,F,4-Jun,143,21-Aug-87,9,AUBURN/USA
PHO,17,Essence Carson,G,Jun-00,163,28-Jul-86,11,RUTGERS/USA
PHO,9,Sophie Cunningham,G,1-Jun,170,16-Aug-96,R,MISSOURI
PHO,42,Brittney Griner,C,9-Jun,205,18-Oct-90,6,BAYLOR/USA
PHO,12,Briann January,G,8-May,144,11-Jan-87,10,ARIZONA STATE/USA
PHO,20,Camille Little,F,2-Jun,180,18-Jan-85,12,NORTH CAROLINA/USA
PHO,31,Sancho Lyttle,F,5-Jun,175,20-Sep-83,14,HOUSTON/USA
PHO,5,Leilani Mitchell,G,5-May,138,15-Jun-85,10,UTAH/USA
PHO,11,Alanna Smith,F,4-Jun,180,10-Nov-96,R,STANFORD
PHO,3,Diana Taurasi,G,Jun-00,163,11-Jun-82,14,CONNECTICUT/USA
PHO,21,Brianna Turner,F,3-Jun,170,5-Jul-96,R,NOTRE DAME
PHO,6,Yvonne Turner,G,10-May,131,13-Oct-87,2,NEBRASKA/USA
DAS,3,Kaela Davis,F-G,2-Jun,170,15-Mar-95,2,SOUTH CAROLINA
DAS,4,Skylar Diggins-Smith,G,9-May,145,2-Aug-90,6,NOTRE DAME/USA
DAS,15,Allisha Gray,G,Jun-00,167,12-Jan-95,2,SOUTH CAROLINA
DAS,13,Megan Gustafson,F,3-Jun,195,13-Dec-96,R,
DAS,20,Isabelle Harrison,F,3-Jun,183,27-Sep-93,2,TENNESSEE
DAS,2,Tayler Hill,G,9-May,145,23-Oct-90,6,OHIO STATE/USA
DAS,,Moriah Jefferson,G,6-May,123,8-Mar-94,3,CONNECTICUT
DAS,25,Glory Johnson,F,3-Jun,170,27-Jul-90,6,TENNESSEE/USA
DAS,1,Brooke McCarty-Williams,G,4-May,,2-Oct-95,R,TEXAS
DAS,34,Imani McGee-Stafford,C,7-Jun,215,11-Oct-94,3,TEXAS
DAS,24,Arike Ogunbowale,G,8-May,165,2-Mar-97,R,NOTRE DAME
DAS,55,Theresa Plaisance,F-C,5-Jun,200,18-May-92,5,LOUISIANA STATE
DAS,30,Azurá Stevens,F-C,6-Jun,180,1-Feb-96,1,CONNECTICUT
DAS,6,Kayla Thornton,F,1-Jun,190,20-Oct-92,3,TEXAS-EL PASO
LVA,8,Liz Cambage,C,8-Jun,216,18-Aug-91,3,Australia
LVA,51,Sydney Colson,G,8-May,140,6-Aug-89,5,Texas A&M/USA
LVA,5,Dearica Hamby,F,3-Jun,189,6-Nov-93,4,Wake Forest
LVA,21,Kayla McBride,G,10-May,174,25-Jun-92,5,Notre Dame/USA
LVA,19,JiSu Park,C,5-Jun,206,6-Dec-98,1,South Korea
LVA,10,Kelsey Plum,G,8-May,145,24-Aug-94,2,Washington
LVA,14,Sugar Rodgers,G,9-May,161,8-Dec-89,6,Georgetown/USA
LVA,4,Carolyn Swords,C,6-Jun,215,19-Jul-89,7,Boston College/USA
LVA,22,A'ja Wilson,F,4-Jun,195,8-Aug-96,1,South Carolina
LVA,1,Tamera Young,F,2-Jun,175,30-Oct-86,11,James Madison/USA
LVA,0,Jackie Young,G,Jun-00,165,16-Sep-97,R,Notre Dame
